Name,Address
Afe Babalola University,Ado-Ekiti
Ajayi Crowther University,Oyo
Al-Hikmah University,Ilorin
American University of Nigeria,Yola
Babcock University,Ilishan-Remo
Baze University,Abuja
Benson Idahosa University,Benin City
Bingham University,Karu
Bowen University,Iwo
Caleb University,Imota
Chrisland University,Abeokuta
Christopher University,Mowe
Covenant University,Ota
Crawford University,Faith City
Edwin Clark University,Kiagbodo
Elizade University,Ilara-Mokin
Evangel University,Akaeze
Fountain University,Osogbo
Godfrey Okoye University,Ugwuomu-Nike
Gregory University,Uturu
Hallmark University,Ijebu-Itele
Igbinedion University,Okada
Joseph Ayo Babalola University,Ikeji-Arakeji
Kings University,Osun State
Landmark University,Omu-Aran
Lead City University,Ibadan
Madonna University,Okija
McPherson University,Seriki Sotayo
Mountain Top University,Makogi/Oba
Nile University of Nigeria,Abuja
Novena University,Ogume
Obong University,Obong Ntak
Oduduwa University,Ipetumodu
Pan-Atlantic University,Ibeju-Lekki
Paul University,Awka
Redeemer's University,Ede
Renaissance University,Enugu
Rhema University,Aba
Salem University,Lokoja
Samuel Adegboyega University,Ogwa
Southwestern University,Okun Owa
Summit University,Offa
Tansian University,Umunya
University of Mkar,Mkar-Gboko
Veritas University,Abuja
Wellspring University,Benin City
Wesley University of Science and Technology,Ondo City
Western Delta University,Oghara
Yobe State University,Damaturu
Abia State University,Uturu
Adamawa State University,Mubi
Adekunle Ajasin University,Akungba-Akoko
Akwa Ibom State University,Uyo
Ambrose Alli University,Ekpoma
Bauchi State University,Gadau
Benue State University,Makurdi
Cross River University of Technology,Calabar
Delta State University,Abraka
Ebonyi State University,Abakaliki
Ekiti State University,Ado-Ekiti
Enugu State University of Science and Technology,Enugu
Gombe State University,Gombe
Ibrahim Badamasi Babangida University,Lapai
Ignatius Ajuru University of Education,Rumuolumeni
Imo State University,Owerri
Kaduna State University,Kaduna
Kano University of Science and Technology,Wudil
Kebbi State University of Science and Technology,Aliero
Kogi State University,Anyigba
Kwara State University,Ilorin
Ladoke Akintola University of Technology,Ogbomoso
Lagos State University,Ojo
Nasarawa State University,Keffi
Niger Delta University,Wilberforce Island
Olabisi Onabanjo University,Ago Iwoye
Ondo State University of Science and Technology,Okitipupa
Osun State University,Osogbo
Oyo State Technical University,Ibadan
Plateau State University,Bokkos
Rivers State University,Port Harcourt
Sokoto State University,Sokoto
Tai Solarin University of Education,Ijebu-Ode
Taraba State University,Jalingo
Technical University, Ibadan
Umaru Musa Yar'adua University,Katsina
Yobe State University,Damaturu
Zamfara State University,Gusau
Abubakar Tafawa Balewa University,Bauchi
Ahmadu Bello University,Zaria
Bayero University Kano,Kano
Federal University of Agriculture,Abeokuta
Federal University of Agriculture,Makurdi
Federal University of Petroleum Resources,Effurun
Federal University of Technology Akure,Akure
Federal University of Technology Minna,Minna
Federal University of Technology Owerri,Owerri
Federal University Otuoke,Otuoke
Federal University Oye-Ekiti,Oye-Ekiti
Federal University Wukari,Wukari
Federal University Birnin Kebbi,Birnin Kebbi
Federal University Dutsin-Ma,Dutsin-Ma
Federal University Gashua,Gashua
Federal University Gusau,Gusau
Federal University Kashere,Kashere
Federal University Lafia,Lafia
Federal University Lokoja,Lokoja
Federal University Ndufu-Alike,Ndufu-Alike
Federal University School of Dental Technology and Therapy,Enugu
Federal University of Technology,Aba
Michael Okpara University of Agriculture Umudike,Umudike
Modibbo Adama University of Technology Yola,Yola
National Open University of Nigeria Lagos,Lagos
Nigerian Defence Academy Kaduna,Kaduna
Nnamdi Azikiwe University,Awka
Obafemi Awolowo University,Ile-Ife
University of Abuja,Abuja
University of Agriculture,Makurdi
University of Benin,Benin City
University of Calabar,Calabar
University of Ibadan,Ibadan
University of Ilorin,Ilorin
University of Jos,Jos
University of Lagos,Lagos
University of Maiduguri,Maiduguri
University of Medical Sciences,Ondo City
University of Nigeria,Nsukka
University of Port Harcourt,Port Harcourt
University of Uyo,Uyo
Usmanu Danfodiyo University,Sokoto
Air Force Institute of Technology,Kaduna
Akanu Ibiam Federal Polytechnic,Unwana
Federal Polytechnic Ado-Ekiti,Ado-Ekiti
Federal Polytechnic Bali,Bali
Federal Polytechnic Bauchi,Bauchi
Federal Polytechnic Bida,Bida
Federal Polytechnic Damaturu,Damaturu
Federal Polytechnic Ede,Ede
Federal Polytechnic Ekowe,Ekowe
Federal Polytechnic Idah,Idah
Federal Polytechnic Ilaro,Ilaro
Federal Polytechnic Ile-Oluji,Ile-Oluji
Federal Polytechnic Kaura Namoda,Kaura Namoda
Federal Polytechnic Mubi,Mubi
Federal Polytechnic Nasarawa,Lafia
Federal Polytechnic Nekede,Owerri
Federal Polytechnic Offa,Offa
Federal Polytechnic Oko,Oko
Federal Polytechnic Ukana,Ukana
Federal School of Dental Technology and Therapy,Enugu
Hussaini Adamu Federal Polytechnic,Kazaure
Kaduna Polytechnic,Kaduna
National Institute of Construction Technology,Uromi
Niger State Polytechnic,Zungeru
Nuhu Bamalli Polytechnic,Zaria
Ramat Polytechnic,Maiduguri
Waziri Umaru Federal Polytechnic,Birnin Kebbi
Abia State Polytechnic,Aba
Adamawa State Polytechnic,Yola
Akwa Ibom State Polytechnic,Ikot Osurua
Anambra State Polytechnic,Mgbakwu
Bayelsa State College of Arts and Science,Elebele
Benue State Polytechnic,Ugbokolo
Cross River State Institute of Technology and Management,Ugep
Delta State Polytechnic,Ogwashi-Uku
Delta State Polytechnic,Otefe
Delta State Polytechnic,Ozoro
Delta State School of Marine Technology,Burutu
Edo State Institute of Technology and Management,Usen
Edo State Polytechnic,Usen
Ekiti State Institute of Technology and Management,Ijero Ekiti
Enugu State College of Agriculture and Entrepreneurship,Enugu
Gateway ICT Polytechnic,Saapade
Gateway Polytechnic,Saapade
Gombe State Polytechnic,Bajoga
Imo State Polytechnic,Umuagwo
Jigawa State Polytechnic,Dutse
Kaduna Polytechnic (Kaduna State),Kaduna
Kano State Polytechnic,Kano
Kogi State Polytechnic,Lokoja
Kwara State College of Technology,Ilorin
Kwara State Polytechnic,Ilorin
Lagos State Polytechnic,Ikorodu
Moshood Abiola Polytechnic,Abeokuta
Nasarawa State Polytechnic,Lafia
Niger State Polytechnic,Zungeru
Ogun State Institute of Technology,Igbesa
Oke-Ogun Polytechnic,Saki
Osun State College of Technology,Esa Oke
Osun State Polytechnic,Iree
Plateau State Polytechnic,Barkin Ladi
Ramat Polytechnic,Maiduguri
Rivers State Polytechnic,Bori
Rufus Giwa Polytechnic,Owo
Sokoto State Polytechnic,Sokoto
Taraba State Polytechnic,Jalingo
The Ibarapa Polytechnic,Eruwa
The Oke-Ogun Polytechnic,Saki
Umar Ali Shinkafi Polytechnic,Sokoto
Waziri Umaru Federal Polytechnic,Birnin Kebbi
Yaba College of Technology,Yaba (Lagos State)
Adamu Augie College of Education,Argungu
Alvan Ikoku College of Education,Owerri
College of Education Agbor, Agbor
College of Education Akwanga, Akwanga
College of Education Ankpa, Ankpa
College of Education Azare,Azare
College of Education Ekiadolor-Benin, Ekiadolor-Benin
College of Education Gashua, Gashua
College of Education Gindiri, Gindiri
College of Education Hong, Hong
College of Education Igueben,Igueben
College of Education Ikere, Ikere
College of Education Ila-Orangun, Ila-Orangun
College of Education Jalingo, Jalingo
College of Education Katsina-Ala, Katsina-Ala
College of Education Lafiagi, Lafiagi
College of Education Maru,Maru
College of Education Minna, Minna
College of Education Oro, Oro
College of Education Port Harcourt, Port Harcourt
College of Education Waka-Biu, Waka-Biu
Delta State College of Education,Agbor
Emmanuel Alyande College of Education,Oyo
Federal College of Education (Special) Oyo,Oyo
Federal College of Education (Technical) Omoku,Omoku
Federal College of Education (Technical) Asaba,Asaba
Federal College of Education (Technical) Gusau,Gusau
Federal College of Education (Technical) Bichi,Bichi
Federal College of Education (Technical) Potiskum,Potiskum
Federal College of Education (Technical) Akoka,Akoka
Federal College of Education (Technical) Gombe,Gombe
Federal College of Education (Technical) Umunze,Umunze
Federal College of Education Abeokuta, Abeokuta
Federal College of Education Kano, Kano
Federal College of Education Kontagora, Kontagora
Federal College of Education Obudu, Obudu
Federal College of Education Okene, Okene
Federal College of Education Pankshin, Pankshin
Federal College of Education Yola, Yola
Federal College of Education Zaria, Zaria
FCT College of Education,Zuba
Havard Wilson College of Education,Abaji
Isa Kaita College of Education,Dutsinma
Jibwis College of Arabic and Islamic Education, Gombe
Kashim Ibrahim College of Education,Maiduguri
Kwara State College of Education, Oro
Michael Otedola College of Primary Education,Noforija
Mufutau Lanihun College of Education,Ibadan
Nana Aishat Memorial College of Education,Kwali
Nwafor Orizu College of Education,Nsugbe
Osun State College of Education,Ila-Orangun
Osun State College of Education,Ilesa
Oyo State College of Education,Oyo
St. Augustine College of Education,Akoka
Yewa Central College of Education,Ayetoro
